DESCRIPTION,Duty, QTY ,AMOUNT, EX.RATE@ ,AMOUNT (THB), Actual Duty Fee , เฉลี่ยต่อชิ้น , Sea Transportation ,From
TOOTHED BELT,10%,6,154.8,36.4356,"5,640.23",564.02,125.61,125.61,GERMANY
TIMING BELT,10%,5,86,36.4356,"3,133.46",313.35,125.61,125.61,GERMANY
BALL BEARING 624-2Z,0%,10,36,36.4356,"1,311.68", -   ,125.61,125.61,GERMANY
GROOVED BALL BEARING,0%,20,174,36.4356,"6,339.79", -   ,125.61,125.61,GERMANY
BALL BEARING 6201-2Z,0%,3,19.2,36.4356,699.56, -   ,125.61,125.61,GERMANY
BALL BEARING 6202-2Z,0%,3,10.5,36.4356,382.57, -   ,125.61,125.61,GERMANY
BALL BEARING 6000-2RS,0%,10,41,36.4356,"1,493.86", -   ,125.61,125.61,GERMANY
BALL BEARING 608-2Z,0%,4,12.8,36.4356,466.38, -   ,125.61,125.61,GERMANY
BALL BEARING 623-2Z,0%,10,41,36.4356,"1,493.86", -   ,125.61,125.61,GERMANY
BALL BEARING 624-2Z,0%,10,36,36.4356,"1,311.68", -   ,125.61,125.61,GERMANY
BUSH 20.0/25.0X 67.0,10%,5,86.5,36.4356,"3,151.68",315.17,125.61,125.61,GERMANY
RUBBER PLATE,10%,2,108,36.4356,"3,935.04",393.5,125.61,125.61,GERMANY
BALL BEARING,0%,3,78,36.4356,"2,841.98", -   ,125.61,125.61,GERMANY
SLIMRING BEARING,0%,3,"1,129.50",36.4356,"41,154.01", -   ,125.61,125.61,GERMANY
FOUR POINT BEARING,0%,3,"1,094.40",36.4356,"39,875.12", -   ,125.61,125.61,GERMANY
BAR-200 LENGTH,10%,3,363.6,36.4356,"13,247.98","1,324.80",125.61,125.61,GERMANY
FUHRUNGSWAGEN,10%,3,421.2,36.4356,"15,346.67","1,534.67",125.61,125.61,GERMANY
CRANK MECHANISM,10%,5,"1,102.50",36.4356,"40,170.25","4,017.02",125.61,125.61,GERMANY
PISTON KNIFE,10%,5,"2,070.00",36.4356,"75,421.69","7,542.17",125.61,125.61,GERMANY
RUBBER BUFFER,10%,10,17.5,36.4356,637.62,63.76,125.61,125.61,GERMANY
TOOTHED BELT GEAR,10%,10,553,36.4356,"20,148.89","2,014.89",125.61,125.61,GERMANY
TOOTHED BELT GEAR,10%,4,114.8,36.4356,"4,182.81",418.28,125.61,125.61,GERMANY
TOOTHED BELT GEAR,10%,5,290,36.4356,"10,566.32","1,056.63",125.61,125.61,GERMANY
DRIVING BELT 390X3,10%,10,84,36.4356,"3,060.59",306.06,125.61,125.61,GERMANY
DRIVING BELT 280X3,10%,10,84,36.4356,"3,060.59",306.06,125.61,125.61,GERMANY
GUIDING ROLLER,10%,50,"1,125.00",36.4356,"40,990.05","4,099.01",125.61,125.61,GERMANY
CLUTCH,10%,3,387,36.4356,"14,100.58","1,410.06",125.61,125.61,GERMANY
CYLINDRICAL PEN,10%,5,718,36.4356,"26,160.76","2,616.08",125.61,125.61,GERMANY
RETAINING PLATE,10%,6,41.4,36.4356,"1,508.43",150.84,125.61,125.61,GERMANY
CYLINDER,10%,3,160.2,36.4356,"5,836.98",583.7,125.61,125.61,GERMANY
DC-LIFTING MAGNET 24V,10%,3,443.1,36.4356,"16,144.61","1,614.46",125.61,125.61,GERMANY
TENSION SPRING,10%,10,16,36.4356,582.97,58.3,125.61,125.61,GERMANY
PARALLEL PIN 3 M6X12,10%,20,4,36.4356,145.74,14.57,125.61,125.61,GERMANY
PARALLEL PIN 3 M6X18,10%,20,4,36.4356,145.74,14.57,125.61,125.61,GERMANY
COAT FOR CYLINDER-80MM,10%,15,123,36.4356,"4,481.58",448.16,125.61,125.61,GERMANY
SLIDING PIECE,10%,8,89.6,36.4356,"3,264.63",326.46,125.61,125.61,GERMANY
STRIP,10%,8,46.4,36.4356,"1,690.61",169.06,125.61,125.61,GERMANY
DRIVING ROLL D35X12,10%,8,393.6,36.4356,"14,341.05","1,434.11",125.61,125.61,GERMANY
TRACK WHEEL (E0025),10%,6,676.8,36.4356,"24,659.61","2,465.96",125.61,125.61,GERMANY
RUNNING WHEEL compl,10%,4,267.2,36.4356,"9,735.59",973.56,125.61,125.61,GERMANY
LIGTH BARRIER,10%,2,189.4,36.4356,"6,900.90",690.09,125.61,125.61,GERMANY
RUNNING WHEEL,10%,1,109.3,36.4356,"3,982.41",398.24,125.61,125.61,GERMANY
PUSH-BUTTON,10%,1,25,36.4356,910.89,91.09,125.61,125.61,GERMANY
PUSH-BUTTON KEY,10%,1,25,36.4356,910.89,91.09,125.61,125.61,GERMANY
KNITTED FABRIC,5%,202,606,31.3607,"19,004.58",950.23,"20,041.94","5,292.12",CHINA
KNITTED FABRIC,5%,65.3,855.43,35.6412,"30,488.55","1,524.43","23,982.74","6,481.82",ITALY
Knitted fabric,5%,317.1,"3,672.02",31.3607,"115,157.12","5,757.86","1,459.10","1,459.10",GERMANY
Knitted fabric,5%,425.4,"4,692.16",31.3607,"147,149.42","7,357.47","1,459.10","1,459.10",GERMANY
Knitted fabric,5%,465.5,"5,134.47",31.3607,"161,020.57","8,051.03","1,459.10","1,459.10",GERMANY
Knitted fabric,5%,608.8,"7,049.90",31.3607,"221,089.80","11,054.49","1,459.10","1,459.10",GERMANY
STRAP TAPE FUSED 82% NYLON 18% LYCRA,30%,300,216,31.3607,"6,773.91","2,032.17","2,313.02",940.82,HONG KONG
FOAM CUP,30%,150,156,31.3607,"4,892.27","1,467.68","1,432.88",677.63,HONG KONG
FOAM CUP,30%,100,147,31.3607,"4,610.02","1,383.01","1,432.88",677.63,HONG KONG
FOAM CUP,30%,200,176,31.3607,"5,519.48","1,655.84","1,432.88",677.63,HONG KONG
FOAM CUP,30%,250,220,31.3607,"6,899.35","2,069.81","1,432.88",677.63,HONG KONG
FOAM CUP,30%,300,303,31.3607,"9,502.29","2,850.69","1,432.88",677.63,HONG KONG
FOAM CUP,30%,250,220,31.3607,"6,899.35","2,069.81","1,432.88",677.63,HONG KONG
FOAM CUP,30%,350,353.5,31.3607,"11,086.01","3,325.80","1,432.88",677.63,HONG KONG
FOAM CUP,30%,400,404,31.3607,"12,669.72","3,800.92","1,432.88",677.63,HONG KONG
FOLDABLE BOXES,10%,240,216,35.6412,"7,698.50",769.85,"1,432.88","1,432.88",GERMANY
TOP-SAMPLE WITH DOCS.,30%,1,2.29,35.6412,81.62,24.49,"1,432.88","1,432.88",GERMANY
BRASSIERE-SAMPLES WITH DOCS.,30%,2,11.42,35.6412,407.02,122.11,"1,432.88","1,432.88",GERMANY
PLASTIC MOULD CUPS,5%,41,12.3,35.6412,438.39,21.92,"1,432.88","1,432.88",GERMANY
KNITTED FABRIC,5%,115.4,"1,387.06",35.6412,"49,436.48","2,471.82","1,432.88","1,432.88",GERMANY
TAPE,5%,"4,000.00",379.98,35.6412,"13,542.94",677.15,"1,432.88","1,432.88",GERMANY
TAPE,5%,"1,000.00",183.4,35.6412,"6,536.60",326.83,200,200,GERMANY
TAPE,5%,200,73.4,31.3607,"2,301.88",115.09,"3,059.19",826.81,FRANCE
ACCESSORIES EMBROIDERED MOTIF LOGO,10%,500,45,31.3607,"1,411.23",141.12,"2,461.72",117.6,CHINA
"LACE TAPE, EMBROIDERED BAND",10%,200.8,142.57,31.3607,"4,471.09",447.11,"2,461.72",117.6,CHINA
"LACE TAPE, EMBROIDERED BAND",10%,202.6,340.37,31.3607,"10,674.24","1,067.42","2,461.72",117.6,CHINA
NYLON FABRIC SAMPLE,5%,1,30,31.3607,940.82,47.04,"3,411.80",294.01,CHINA
RUBBER ELASTIC TAPE,5%,5,2.5,31.3607,78.4,3.92,"2,205.59",235.21,CHINA
LACE,5%,459,904.23,31.3607,"28,357.29","1,417.86","2,494.50","2,077.65",CHINA
LACE,5%,150.9,995.94,31.3607,"31,233.38","1,561.67","2,494.50","2,077.65",CHINA
LACE,5%,550,"1,083.50",31.3607,"33,979.32","1,698.97","2,494.50","2,077.65",CHINA
KNITTED FABRIC,5%,1,1.2,31.3607,37.63,1.88,"2,494.50",124.19,TAIWAN
KNITTED FABRIC,5%,1,20,31.3607,627.21,31.36,"4,974.62","1,117.22",CHINA
SAMPLE FABRIC,5%,1,10,31.3607,313.61,15.68,"2,282.18",117.6,CHINA
NYLON SPANDEX KNITTED FABRIC,5%,62.18,308.41,31.3607,"9,671.95",483.6,"4,329.32","1,170.09",HONG KONG
NYLON SPANDEX KNITTED FABRIC,5%,57.61,343.36,31.3607,"10,768.01",538.4,"4,329.32","1,170.09",HONG KONG
NYLON SPANDEX KNITTED FABRIC,5%,123.45,735.76,31.3607,"23,073.95","1,153.70","4,329.32","1,170.09",HONG KONG
BARCODE SCANNER,0%,7,"5,523.00",35.6412,"196,846.35", -   ,"1,253.55","1,253.55",GERMANY
DOCKING STATION,10%,7,"1,248.38",35.6412,"44,493.76","4,449.38","1,253.55","1,253.55",GERMANY
THREAD,5%,56,112,31.3607,"3,512.40",175.62,"2,252.82",608.87,HONG KONG
THREAD,5%,53,106,31.3607,"3,324.23",166.21,"2,252.82",608.87,HONG KONG
THREAD,5%,55,110,31.3607,"3,449.68",172.48,"2,252.82",608.87,HONG KONG
DOCUMENTS WITH FABRIC SAMPLES,5%,20,4,35.6412,142.56,7.13,"2,252.82","2,252.82",GERMANY
FABRIC-SAMPLES,5%,3,3.5,35.6412,124.74,6.24,"2,252.82","2,252.82",GERMANY
FABRIC-SAMPLE,5%,1,1,35.6412,35.64,1.78,"2,252.82","2,252.82",GERMANY
PLASTIC BONE,10%,"1,000.00",26.61,31.3607,834.51,83.45,729.65,258.73,HONG KONG
PLASTIC MATERNITY CLOSURE,10%,"1,000.00",118.48,31.3607,"3,715.62",371.56,729.65,258.73,HONG KONG
PLASTIC MATERNITY CLOSURE,10%,"1,000.00",132.88,31.3607,"4,167.21",416.72,729.65,258.73,HONG KONG
PLASTIC SLIDE W/TEETH,10%,"1,000.00",8.58,31.3607,269.07,26.91,729.65,258.73,HONG KONG
INTERCHANGEABLE TOOLS,10%,41,"45,100.00",35.6412,"1,607,418.12","160,741.81","2,455.17","2,455.17",GERMANY
INTERCHANGEABLE TOOLS,10%,41,"45,100.00",35.6412,"1,607,418.12","160,741.81","2,455.17","2,455.17",GERMANY
PUNCHING FORM,10%,8,"3,600.00",35.6412,"128,308.32","12,830.83","2,455.17","2,455.17",GERMANY
PLASTIC PROFILES/FOAM CUP,5%,27,27,35.6412,962.31,48.12,"2,455.17","2,455.17",GERMANY
PLASTIC PROFILES/FOAM CUP,5%,9,45,35.6412,"1,603.85",80.19,"2,455.17","2,455.17",GERMANY
SAMPLE LACE,5%,1,10,31.3607,313.61,15.68,"2,455.17",663.56,CHINA
KNITTED FABRIC,5%,279,906.92,35.6412,"32,323.72","1,616.19","1,210.27","1,210.27",GERMANY
KNITTED FABRIC,5%,99,509.5,35.6412,"18,159.19",907.96,"1,210.27","1,210.27",GERMANY
FOLDABLE BOXES,10%,100,90,35.6412,"3,207.71",320.77,"1,210.27","1,210.27",GERMANY
NYLON SPANDEX KNITTED FABRIC,5%,531.28,"3,772.09",31.3607,"118,295.38","5,914.77","8,749.80","2,364.81",HONG KONG
NYLON SPANDEX KNITTED FABRIC,5%,312.25,"2,216.98",31.3607,"69,526.04","3,476.30","8,749.80","2,364.81",HONG KONG
NYLON SPANDEX KNITTED FABRIC,5%,460.86,"2,488.64",31.3607,"78,045.49","3,902.27","8,749.80","2,364.81",HONG KONG
NYLON SPANDEX KNITTED FABRIC,5%,321.87,"1,738.10",31.3607,"54,508.03","2,725.40","8,749.80","2,364.81",HONG KONG
NYLON SPANDEX KNITTED FABRIC,5%,528.52,"1,796.97",31.3607,"56,354.24","2,817.71","8,749.80","2,364.81",HONG KONG
NYLON SPANDEX KNITTED FABRIC,5%,672.99,"3,634.15",31.3607,"113,969.49","5,698.47","8,749.80","2,364.81",HONG KONG
NYLON SPANDEX KNITTED FABRIC,5%,295.35,"1,594.89",31.3607,"50,016.87","2,500.84","8,749.80","2,364.81",HONG KONG
